,lat,lng,streetname
1,37.779589187929,-122.50251277385621,GEARY BLVD
2,37.779554275858,-122.50205494771241,GEARY BLVD
3,37.77949819580337,-122.50159712156862,GEARY BLVD
4,37.77943106314971,-122.50113929542484,GEARY BLVD
5,37.77939172108183,-122.50068146928105,GEARY BLVD
6,37.77942191258296,-122.50022364313725,GEARY BLVD
7,37.779452104084086,-122.49976581699346,GEARY BLVD
8,37.77947002528287,-122.49930799084967,GEARY BLVD
9,37.77948721621411,-122.49885016470589,GEARY BLVD
10,37.77950702917788,-122.49839233856208,GEARY BLVD
11,37.77952855128538,-122.4979345124183,GEARY BLVD
12,37.779550208366985,-122.49747668627451,GEARY BLVD
13,37.779572233632194,-122.49701886013072,GEARY BLVD
14,37.779594258897404,-122.49656103398692,GEARY BLVD
15,37.779615602444274,-122.49610320784313,GEARY BLVD
16,37.77963689470285,-122.49564538169935,GEARY BLVD
17,37.77963832331493,-122.49518755555556,GEARY BLVD
18,37.779625471453485,-122.49472972941176,GEARY BLVD
19,37.77963098626952,-122.49427190326797,GEARY BLVD
20,37.7796923531871,-122.49381407712418,GEARY BLVD
21,37.77975372010469,-122.4933562509804,GEARY BLVD
22,37.77973446794542,-122.4928984248366,GEARY BLVD
23,37.779706025248316,-122.49244059869281,GEARY BLVD
24,37.77970334735752,-122.49198277254902,GEARY BLVD
25,37.779723702601515,-122.49152494640522,GEARY BLVD
26,37.77974383454444,-122.49106712026143,GEARY BLVD
27,37.779762479625894,-122.49060929411765,GEARY BLVD
28,37.77978112470734,-122.49015146797386,GEARY BLVD
29,37.7798453981925,-122.48969364183006,GEARY BLVD
30,37.779922434326544,-122.48923581568627,GEARY BLVD
31,37.77997112342709,-122.48877798954248,GEARY BLVD
32,37.77999433355472,-122.4883201633987,GEARY BLVD
33,37.78001711575207,-122.4878623372549,GEARY BLVD
34,37.78003786962437,-122.48740451111111,GEARY BLVD
35,37.78005862349667,-122.48694668496732,GEARY BLVD
36,37.78007758647841,-122.48648885882353,GEARY BLVD
37,37.780096201481825,-122.48603103267973,GEARY BLVD
38,37.78011547018566,-122.48557320653595,GEARY BLVD
39,37.780135377458464,-122.48511538039216,GEARY BLVD
40,37.780155504387864,-122.48465755424837,GEARY BLVD
41,37.78017835681569,-122.48419972810457,GEARY BLVD
42,37.780201209243515,-122.48374190196078,GEARY BLVD
43,37.78017972707204,-122.483284075817,GEARY BLVD
44,37.78014422375686,-122.4828262496732,GEARY BLVD
45,37.78015599449098,-122.48236842352941,GEARY BLVD
46,37.7802332892465,-122.48191059738562,GEARY BLVD
47,37.7802965214029,-122.48145277124183,GEARY BLVD
48,37.7802660251089,-122.48099494509803,GEARY BLVD
49,37.780235528814906,-122.48053711895425,GEARY BLVD
50,37.780244213556315,-122.48007929281046,GEARY BLVD
51,37.780264417482314,-122.47962146666667,GEARY BLVD
52,37.78028443961388,-122.47916364052287,GEARY BLVD
53,37.780304245231804,-122.47870581437908,GEARY BLVD
54,37.78032453159802,-122.4782479882353,GEARY BLVD
55,37.78034756391942,-122.47779016209151,GEARY BLVD
56,37.78037059624082,-122.47733233594771,GEARY BLVD
57,37.780434158994034,-122.47687450980392,GEARY BLVD
58,37.78050730306966,-122.47641668366013,GEARY BLVD
59,37.78053109753758,-122.47595885751635,GEARY BLVD
60,37.780500953307154,-122.47550103137254,GEARY BLVD
61,37.78048352264441,-122.47504320522876,GEARY BLVD
62,37.780551874499906,-122.47458537908497,GEARY BLVD
63,37.7806202263554,-122.47412755294118,GEARY BLVD
64,37.780623422388665,-122.47366972679738,GEARY BLVD
65,37.78059757606574,-122.4732119006536,GEARY BLVD
66,37.78058031817579,-122.47275407450981,GEARY BLVD
67,37.780595806821445,-122.472296248366,GEARY BLVD
68,37.78061048036668,-122.47183842222222,GEARY BLVD
69,37.780681256212596,-122.47138059607843,GEARY BLVD
70,37.78075955099338,-122.47092276993465,GEARY BLVD
71,37.78080653236583,-122.47046494379084,GEARY BLVD
72,37.78082916513391,-122.47000711764706,GEARY BLVD
73,37.780851271196646,-122.46954929150327,GEARY BLVD
74,37.780871311304004,-122.46909146535948,GEARY BLVD
75,37.78089135141137,-122.46863363921568,GEARY BLVD
76,37.78086447999377,-122.4681758130719,GEARY BLVD
77,37.78083107889399,-122.46771798692811,GEARY BLVD
78,37.780824160385656,-122.46726016078432,GEARY BLVD
79,37.78084397410531,-122.46680233464052,GEARY BLVD
80,37.780863754987585,-122.46634450849673,GEARY BLVD
81,37.78088338216394,-122.46588668235295,GEARY BLVD
82,37.78090300934029,-122.46542885620916,GEARY BLVD
83,37.78092363664026,-122.46497103006536,GEARY BLVD
84,37.78094448787313,-122.46451320392157,GEARY BLVD
85,37.78099405050314,-122.46405537777778,GEARY BLVD
86,37.781073947181284,-122.463597551634,GEARY BLVD
87,37.78113351258096,-122.4631397254902,GEARY BLVD
88,37.7810977429339,-122.4626818993464,GEARY BLVD
89,37.78106197328684,-122.46222407320262,GEARY BLVD
90,37.7810705695283,-122.46176624705882,GEARY BLVD
91,37.78108971863786,-122.46130842091503,GEARY BLVD
92,37.781109291468546,-122.46085059477124,GEARY BLVD
93,37.781129345363006,-122.46039276862746,GEARY BLVD
94,37.78115699031113,-122.45993494248366,GEARY BLVD
95,37.781237954372195,-122.45947711633987,GEARY BLVD
96,37.781318918433264,-122.45901929019608,GEARY BLVD
97,37.78131971888909,-122.4585614640523,GEARY BLVD
98,37.781283702430294,-122.4581036379085,GEARY BLVD
99,37.781269241279624,-122.4576458117647,GEARY BLVD
100,37.78134551042495,-122.45718798562092,GEARY BLVD
101,37.781421779570266,-122.45673015947713,GEARY BLVD
102,37.78144747368951,-122.45627233333333,GEARY BLVD
103,37.7814038602111,-122.45581450718954,GEARY BLVD
104,37.781471761990346,-122.45535668104576,GEARY BLVD
105,37.78152484908608,-122.45489885490197,GEARY BLVD
106,37.781534357501606,-122.45444102875817,GEARY BLVD
107,37.781582951503516,-122.45398320261438,GEARY BLVD
108,37.781696680511764,-122.4535253764706,GEARY BLVD
109,37.7817840345608,-122.45306755032681,GEARY BLVD
110,37.78178990129913,-122.452609724183,GEARY BLVD
111,37.781795768037455,-122.45215189803922,GEARY BLVD
112,37.781852948111116,-122.45169407189543,GEARY BLVD
113,37.781911308952495,-122.45123624575163,GEARY BLVD
114,37.781968170719466,-122.45077841960784,GEARY BLVD
115,37.782024466711434,-122.45032059346406,GEARY BLVD
116,37.782072632077195,-122.44986276732027,GEARY BLVD
117,37.782112675308866,-122.44940494117647,GEARY BLVD
118,37.78218023331892,-122.44894711503268,GEARY BLVD
119,37.782337256526525,-122.4484892888889,GEARY BLVD
120,37.78245626767885,-122.4480314627451,GEARY BLVD
121,37.78231645912388,-122.4475736366013,GEARY BLVD
122,37.78235421467317,-122.44711581045752,GEARY BLVD
123,37.78239197022246,-122.44665798431373,GEARY BLVD
124,37.78242972577176,-122.44620015816994,GEARY BLVD
125,37.782467481321056,-122.44574233202614,GEARY BLVD
126,37.78250523687035,-122.44528450588236,GEARY BLVD
127,37.78254299241964,-122.44482667973857,GEARY BLVD
128,37.78258470163523,-122.44436885359478,GEARY BLVD
129,37.78269195206394,-122.44391102745098,GEARY BLVD
130,37.782799202492654,-122.4434532013072,GEARY BLVD
131,37.78290645292137,-122.4429953751634,GEARY BLVD
132,37.78298951423311,-122.4425375490196,GEARY BLVD
133,37.78304744664004,-122.44207972287582,GEARY BLVD
134,37.783105379046965,-122.44162189673203,GEARY BLVD
135,37.78316331145389,-122.44116407058824,GEARY BLVD
136,37.783225128078946,-122.44070624444444,GEARY BLVD
137,37.7832869709309,-122.44024841830065,GEARY BLVD
138,37.783348813782865,-122.43979059215687,GEARY BLVD
139,37.78341297862152,-122.43933276601308,GEARY BLVD
140,37.783482818421724,-122.43887493986928,GEARY BLVD
141,37.78355265822193,-122.43841711372549,GEARY BLVD
142,37.783622498022126,-122.4379592875817,GEARY BLVD
143,37.78369994576274,-122.43750146143792,GEARY BLVD
144,37.78377995706349,-122.43704363529412,GEARY BLVD
145,37.78385996836424,-122.43658580915033,GEARY BLVD
146,37.783939979664986,-122.43612798300654,GEARY BLVD
147,37.78401999096573,-122.43567015686276,GEARY BLVD
148,37.78410000226648,-122.43521233071895,GEARY BLVD
149,37.78418001356722,-122.43475450457517,GEARY BLVD
150,37.78421372063076,-122.43429667843138,GEARY BLVD
151,37.784215280420504,-122.4338388522876,GEARY BLVD
152,37.784216840210256,-122.43338102614379,GEARY BLVD
153,37.7842184,-122.4329232,GEARY BLVD
0,37.738313899999994,-122.413379,FOLSOM ST
1,37.7386591169014,-122.41336951941643,FOLSOM ST
2,37.73900433380281,-122.41335972702943,FOLSOM ST
3,37.73934955070422,-122.41334497871289,FOLSOM ST
4,37.73969476760563,-122.41333023039634,FOLSOM ST
5,37.740039984507035,-122.4133154820798,FOLSOM ST
6,37.74038520140844,-122.413297425301,FOLSOM ST
7,37.74073041830985,-122.4132715016288,FOLSOM ST
8,37.74107563521126,-122.41324557795659,FOLSOM ST
9,37.74142085211267,-122.41321965428439,FOLSOM ST
10,37.741766069014076,-122.41319606605019,FOLSOM ST
11,37.742111285915485,-122.41321289930498,FOLSOM ST
12,37.7424565028169,-122.41322973255977,FOLSOM ST
13,37.74280171971831,-122.41324656581456,FOLSOM ST
14,37.743146936619716,-122.41326339906934,FOLSOM ST
15,37.743492153521125,-122.41328023232413,FOLSOM ST
16,37.74383737042253,-122.41329706557892,FOLSOM ST
17,37.74418258732394,-122.41331522587885,FOLSOM ST
18,37.74452780422535,-122.41334802850109,FOLSOM ST
19,37.74487302112676,-122.41338083112333,FOLSOM ST
20,37.745218238028166,-122.41341272218125,FOLSOM ST
21,37.745563454929574,-122.41344160776171,FOLSOM ST
22,37.74590867183098,-122.41347049334217,FOLSOM ST
23,37.74625388873239,-122.41349937892265,FOLSOM ST
24,37.7465991056338,-122.41352826450311,FOLSOM ST
25,37.74694432253521,-122.41355475861094,FOLSOM ST
26,37.747289539436615,-122.41358136298783,FOLSOM ST
27,37.74763475633802,-122.41361660246181,FOLSOM ST
28,37.74797997323943,-122.41365184193582,FOLSOM ST
29,37.74832519014084,-122.41368711876538,FOLSOM ST
30,37.74867040704225,-122.41372299069091,FOLSOM ST
31,37.749015623943656,-122.4137574455639,FOLSOM ST
32,37.749360840845064,-122.41379088685648,FOLSOM ST
33,37.74970605774647,-122.4138246521859,FOLSOM ST
34,37.75005127464788,-122.41385841751531,FOLSOM ST
35,37.75039649154929,-122.41389218284473,FOLSOM ST
36,37.750741708450704,-122.41392594817415,FOLSOM ST
37,37.75108692535211,-122.41396046119861,FOLSOM ST
38,37.75143214225352,-122.41399564377696,FOLSOM ST
39,37.75177735915493,-122.41403082635532,FOLSOM ST
40,37.75212257605634,-122.41406600893366,FOLSOM ST
41,37.752467792957745,-122.41410119151202,FOLSOM ST
42,37.75281300985915,-122.41413316355661,FOLSOM ST
43,37.75315822676056,-122.41416476868098,FOLSOM ST
44,37.75350344366197,-122.41419637380534,FOLSOM ST
45,37.75384866056338,-122.4142279789297,FOLSOM ST
46,37.754193877464786,-122.41426048708192,FOLSOM ST
47,37.754539094366194,-122.41429549632409,FOLSOM ST
48,37.7548843112676,-122.41433050556624,FOLSOM ST
49,37.75522952816901,-122.41436551480841,FOLSOM ST
50,37.75557474507042,-122.41440052405056,FOLSOM ST
51,37.75591996197183,-122.4144341024941,FOLSOM ST
52,37.756265178873235,-122.41446676370794,FOLSOM ST
53,37.75661039577464,-122.41449942492177,FOLSOM ST
54,37.75695561267605,-122.41453208613561,FOLSOM ST
55,37.75730082957746,-122.41456474734944,FOLSOM ST
56,37.75764604647887,-122.41459926540963,FOLSOM ST
57,37.757991263380276,-122.41463379794543,FOLSOM ST
58,37.758336480281685,-122.41466833048122,FOLSOM ST
59,37.75868169718309,-122.414702863017,FOLSOM ST
60,37.75902691408451,-122.41473659411652,FOLSOM ST
61,37.759372130985916,-122.4147690293073,FOLSOM ST
62,37.759717347887324,-122.41480146449807,FOLSOM ST
63,37.76006256478873,-122.41483389968884,FOLSOM ST
64,37.76040778169014,-122.4148663348796,FOLSOM ST
65,37.76075299859155,-122.41490066517267,FOLSOM ST
66,37.76109821549296,-122.41493571935875,FOLSOM ST
67,37.761443432394366,-122.41497077354482,FOLSOM ST
68,37.761788649295774,-122.41500582773091,FOLSOM ST
69,37.76213386619718,-122.41504073371031,FOLSOM ST
70,37.76247908309859,-122.41507404563998,FOLSOM ST
71,37.7628243,-122.41510735756964,FOLSOM ST
72,37.76316951690141,-122.41514066949931,FOLSOM ST
73,37.763514733802815,-122.41517398142896,FOLSOM ST
74,37.76385995070422,-122.41520641825285,FOLSOM ST
75,37.76420516760563,-122.41523794102025,FOLSOM ST
76,37.76455038450704,-122.41526946378767,FOLSOM ST
77,37.76489560140845,-122.41530287975884,FOLSOM ST
78,37.765240818309856,-122.41533781537811,FOLSOM ST
79,37.765586035211264,-122.41537129947194,FOLSOM ST
80,37.76593125211267,-122.41540428102604,FOLSOM ST
81,37.76627646901408,-122.41543726258014,FOLSOM ST
82,37.76662168591549,-122.41547024413426,FOLSOM ST
83,37.766966902816904,-122.41550312053059,FOLSOM ST
84,37.76731211971831,-122.41553438994256,FOLSOM ST
85,37.76765733661972,-122.41556565935454,FOLSOM ST
86,37.76800255352113,-122.41559692876652,FOLSOM ST
87,37.76834777042254,-122.4156281981785,FOLSOM ST
88,37.768692987323945,-122.4156430160082,FOLSOM ST
89,37.76903820422535,-122.41563636923273,FOLSOM ST
90,37.76938342112676,-122.41562762035699,FOLSOM ST
91,37.76972863802817,-122.41553590687364,FOLSOM ST
92,37.77007385492958,-122.41539523202991,FOLSOM ST
93,37.770419071830986,-122.41525455718616,FOLSOM ST
94,37.770764288732394,-122.41511388234242,FOLSOM ST
95,37.7711095056338,-122.41489201583855,FOLSOM ST
96,37.77145472253521,-122.41459059284655,FOLSOM ST
97,37.77179993943662,-122.41419559203409,FOLSOM ST
98,37.77214515633803,-122.41373827160963,FOLSOM ST
99,37.772490373239435,-122.41327124443042,FOLSOM ST
100,37.77283559014084,-122.41283388481392,FOLSOM ST
101,37.77318080704225,-122.41240093522839,FOLSOM ST
102,37.77352602394366,-122.41196609319951,FOLSOM ST
103,37.77387124084507,-122.41152924752834,FOLSOM ST
104,37.774216457746476,-122.41108936616601,FOLSOM ST
105,37.774561674647885,-122.4106494848037,FOLSOM ST
106,37.77490689154929,-122.41020960344137,FOLSOM ST
107,37.77525210845071,-122.40977126875623,FOLSOM ST
108,37.775597325352116,-122.40933442901586,FOLSOM ST
109,37.775942542253524,-122.40889995978516,FOLSOM ST
110,37.77628775915493,-122.40846137852432,FOLSOM ST
111,37.77663297605634,-122.40802431125276,FOLSOM ST
112,37.77697819295775,-122.40759012246087,FOLSOM ST
113,37.77732340985916,-122.40715568203055,FOLSOM ST
114,37.777668626760565,-122.40671453983362,FOLSOM ST
115,37.778013843661974,-122.40627525395992,FOLSOM ST
116,37.77835906056338,-122.40584135427306,FOLSOM ST
117,37.77870427746479,-122.40540762399475,FOLSOM ST
118,37.7790494943662,-122.40497350829354,FOLSOM ST
119,37.77939471126761,-122.40453939259234,FOLSOM ST
120,37.779739928169015,-122.40410371941915,FOLSOM ST
121,37.78008514507042,-122.40366769118938,FOLSOM ST
122,37.78043036197183,-122.40323146314726,FOLSOM ST
123,37.78077557887324,-122.40279496330751,FOLSOM ST
124,37.78112079577465,-122.40235846346778,FOLSOM ST
125,37.781466012676056,-122.40192196362804,FOLSOM ST
126,37.781811229577464,-122.4014854637883,FOLSOM ST
127,37.78215644647887,-122.40104559148665,FOLSOM ST
128,37.78250166338028,-122.4005986169035,FOLSOM ST
129,37.78284688028169,-122.40016416485726,FOLSOM ST
130,37.7831920971831,-122.39973967303392,FOLSOM ST
131,37.78353731408451,-122.39931518121057,FOLSOM ST
132,37.78388253098592,-122.39888516494675,FOLSOM ST
133,37.78422774788733,-122.398436449748,FOLSOM ST
134,37.78457296478874,-122.39798773454926,FOLSOM ST
135,37.784918181690145,-122.39753917460536,FOLSOM ST
136,37.78526339859155,-122.3970906870107,FOLSOM ST
137,37.78560861549296,-122.39664616083257,FOLSOM ST
138,37.78595383239437,-122.39622120479322,FOLSOM ST
139,37.78629904929578,-122.39579624875387,FOLSOM ST
140,37.786644266197186,-122.39537211844183,FOLSOM ST
141,37.786989483098594,-122.39494810922092,FOLSOM ST
142,37.7873347,-122.3945241,FOLSOM ST
0,37.7622877,-122.50605530000001,IRVING ST
1,37.762308220882616,-122.50559184842106,IRVING ST
2,37.76232874176524,-122.50512839684212,IRVING ST
3,37.762350778862086,-122.50466494526317,IRVING ST
4,37.76237349665412,-122.50420149368422,IRVING ST
5,37.76239424482428,-122.50373804210528,IRVING ST
6,37.7624116449211,-122.50327459052633,IRVING ST
7,37.76242924994948,-122.50281113894738,IRVING ST
8,37.76244951412453,-122.50234768736843,IRVING ST
